Avg. sheep,Avg. wolves
180.45544554455446,62.386138613861384
208.33663366336634,50.86138613861386
208.23762376237624,59.56435643564357
167.47524752475246,40.495049504950494
132.24752475247524,81.08910891089108
223.86138613861385,99.57425742574257
139.55445544554456,55.118811881188115
130.13861386138615,67.37623762376238
140.68316831683168,88.06930693069307
125.24752475247524,127.56435643564356
162.0891089108911,43.51485148514851
111.06930693069307,58.71287128712871
131.58415841584159,68.22772277227723
128.67326732673268,68.87128712871286
107.6930693069307,95.51485148514851
105.95049504950495,90.83168316831683
134.16831683168317,107.53465346534654
157.46534653465346,198.87128712871288
134.24752475247524,43.18811881188119
112.89108910891089,83.47524752475248
114.07920792079207,81.17821782178218
258.05940594059405,164.74257425742573
229.24752475247524,112.15841584158416
181.11881188118812,45.475247524752476
198.009900990099,210.46534653465346
272.2970297029703,139.4257425742574
243.68316831683168,183.25742574257427
263.9504950495049,153.85148514851485
